sample_id,temperature_C,rpm,vibration_g,noise_dB,current_A,voltage_V,power_W,humidity_pct,failure_mode,health_status
0,53.28,800.9,0.1367,45.77,0.1382,220.35,30.45,95.44,Healthy,Healthy
1,37.33,789.0,0.1013,46.78,0.1999,225.58,45.09,89.02,Healthy,Healthy
2,44.44,978.0,0.1154,35.0,0.1878,214.38,40.26,83.73,Healthy,Healthy
3,45.15,611.3,0.1972,40.26,0.1992,225.5,44.91,89.24,Healthy,Healthy
4,39.42,640.1,0.0865,35.0,0.1381,230.21,31.8,86.31,Healthy,Healthy
5,44.13,903.5,0.1229,37.16,0.2057,230.6,47.43,89.49,Healthy,Healthy
6,41.85,896.0,0.188,40.17,0.1877,227.39,42.69,87.63,Healthy,Healthy
7,33.0,961.8,0.133,37.35,0.207,231.45,47.9,88.09,Healthy,Healthy
8,38.2,1237.5,0.08,39.74,0.3518,239.73,84.33,84.24,Healthy,Healthy
9,36.43,918.8,0.1442,42.12,0.2404,235.56,56.64,91.66,Healthy,Healthy
10,37.39,1007.7,0.08,40.09,0.1922,224.39,43.13,83.29,Healthy,Healthy
11,33.0,724.4,0.1874,35.02,0.2107,219.74,46.3,83.48,Healthy,Healthy
12,47.41,1038.2,0.0806,35.11,0.2753,224.97,61.94,89.23,Healthy,Healthy
13,50.41,805.2,0.2622,35.0,0.1801,222.27,40.03,94.05,Healthy,Healthy
14,46.47,912.9,0.1903,35.0,0.2215,229.26,50.78,86.42,Healthy,Healthy
15,48.32,880.4,0.0818,49.07,0.205,221.09,45.33,90.53,Healthy,Healthy
16,38.13,1085.9,0.121,35.0,0.308,226.64,69.81,91.99,Healthy,Healthy
17,36.28,664.2,0.1561,35.0,0.1329,231.19,30.73,90.98,Healthy,Healthy
18,35.39,489.0,0.1575,40.22,0.1181,226.5,26.76,86.59,Healthy,Healthy
19,44.36,861.6,0.1412,37.91,0.1892,222.27,42.05,83.54,Healthy,Healthy
20,41.73,984.3,0.18,37.45,0.19,232.87,44.24,79.19,Healthy,Healthy
21,39.81,927.4,0.1141,46.09,0.2771,217.61,60.3,86.77,Healthy,Healthy
22,48.47,1121.8,0.1024,41.46,0.229,225.36,51.61,92.39,Healthy,Healthy
23,42.86,978.7,0.1034,35.65,0.2345,226.79,53.18,83.42,Healthy,Healthy
24,35.01,798.5,0.1611,36.21,0.1381,227.08,31.36,90.53,Healthy,Healthy
25,36.0,481.4,0.1375,35.79,0.1013,227.9,23.08,84.09,Healthy,Healthy
26,44.6,857.3,0.134,43.21,0.2117,230.05,48.71,88.21,Healthy,Healthy
27,46.87,1085.0,0.1581,36.84,0.2303,226.82,52.24,90.56,Healthy,Healthy
28,43.78,829.4,0.08,35.0,0.2098,225.16,47.24,85.23,Healthy,Healthy
29,52.27,905.1,0.1348,38.24,0.2037,224.96,45.83,88.46,Healthy,Healthy
30,50.62,975.8,0.1305,35.0,0.2598,223.94,58.19,86.18,Healthy,Healthy
31,43.08,717.2,0.1999,50.26,0.2051,230.94,47.36,90.55,Healthy,Healthy
32,35.01,1012.2,0.08,35.0,0.2199,223.77,49.21,88.72,Healthy,Healthy
33,33.0,1194.7,0.1946,37.63,0.2809,231.23,64.95,88.02,Healthy,Healthy
34,37.86,868.9,0.1236,39.89,0.2078,227.09,47.2,93.88,Healthy,Healthy
35,45.05,696.8,0.1434,36.95,0.1797,224.39,40.33,90.38,Healthy,Healthy
36,51.83,888.0,0.2003,36.94,0.2076,230.09,47.77,85.11,Healthy,Healthy
37,42.93,499.6,0.1469,40.77,0.1218,223.36,27.22,87.47,Healthy,Healthy
38,47.68,960.6,0.1392,46.72,0.2174,230.19,50.04,87.5,Healthy,Healthy
39,38.75,981.4,0.1316,42.63,0.2322,228.06,52.95,88.11,Healthy,Healthy
40,44.23,1201.6,0.0968,46.46,0.3163,224.02,70.87,97.65,Healthy,Healthy
41,45.5,865.1,0.1186,35.0,0.2198,229.64,50.46,89.25,Healthy,Healthy
42,33.0,973.5,0.0857,40.21,0.2466,229.73,56.65,79.86,Healthy,Healthy
43,37.69,745.0,0.1179,39.34,0.1939,232.79,45.13,85.68,Healthy,Healthy
44,46.29,835.8,0.08,40.39,0.1908,231.83,44.23,80.26,Healthy,Healthy
45,42.03,625.5,0.1405,45.91,0.1548,229.46,35.51,86.51,Healthy,Healthy
46,33.0,864.9,0.1142,37.31,0.1718,221.36,38.02,80.05,Healthy,Healthy
47,33.0,845.0,0.1039,36.32,0.2323,239.24,55.58,84.4,Healthy,Healthy
48,37.99,953.9,0.1305,41.38,0.1455,219.98,32.0,81.87,Healthy,Healthy
49,39.85,787.8,0.08,35.0,0.1814,231.75,42.04,89.3,Healthy,Healthy
50,34.72,915.0,0.2124,37.22,0.2451,229.16,56.17,87.8,Healthy,Healthy
