sample_id,temperature_C,rpm,vibration_g,noise_dB,current_A,voltage_V,power_W,humidity_pct,failure_mode,health_status
0,42.48,869.2,0.1647,35.0,0.2161,218.18,47.14,88.79,Healthy,Healthy
1,38.99,856.6,0.151,44.4,0.1897,222.44,42.19,87.76,Healthy,Healthy
2,41.64,1109.5,0.0838,41.94,0.3024,229.62,69.44,84.32,Healthy,Healthy
3,40.19,853.7,0.08,35.0,0.2169,220.63,47.86,86.96,Healthy,Healthy
4,50.37,677.8,0.1116,41.41,0.1603,219.88,35.25,85.8,Healthy,Healthy
5,41.85,616.8,0.08,35.74,0.1405,238.91,33.57,90.03,Healthy,Healthy
6,40.29,965.3,0.08,35.0,0.2523,220.2,55.56,84.49,Healthy,Healthy
7,38.79,763.1,0.08,39.2,0.1613,235.25,37.94,90.0,Healthy,Healthy
8,45.62,1020.4,0.0928,41.4,0.1887,226.14,42.67,84.53,Healthy,Healthy
9,44.77,660.4,0.1593,39.32,0.1561,224.38,35.02,86.78,Healthy,Healthy
10,38.57,803.0,0.1697,37.91,0.2203,229.83,50.64,90.2,Healthy,Healthy
11,33.01,660.5,0.1444,36.72,0.1982,233.68,46.32,85.06,Healthy,Healthy
12,34.61,978.2,0.1503,51.79,0.2253,221.27,49.85,90.34,Healthy,Healthy
13,39.14,1016.8,0.1514,35.0,0.2385,224.45,53.52,89.96,Healthy,Healthy
14,48.81,961.0,0.08,43.2,0.2386,231.23,55.18,86.74,Healthy,Healthy
15,38.72,704.5,0.1205,38.58,0.1571,228.44,35.88,92.33,Healthy,Healthy
16,36.55,765.8,0.08,35.0,0.193,232.51,44.87,88.1,Healthy,Healthy
17,33.0,942.2,0.1444,38.24,0.2175,229.58,49.93,92.1,Healthy,Healthy
18,49.85,596.2,0.08,35.0,0.1671,236.04,39.45,94.79,Healthy,Healthy
19,43.89,856.6,0.1114,35.29,0.2199,227.89,50.11,86.86,Healthy,Healthy
20,45.32,1173.0,0.1462,38.25,0.2962,228.11,67.56,90.32,Healthy,Healthy
21,46.37,867.6,0.08,35.0,0.1968,228.61,44.98,85.31,Healthy,Healthy
22,39.26,632.1,0.1661,41.23,0.2008,226.29,45.45,83.77,Healthy,Healthy
23,40.83,790.7,0.1443,35.0,0.1979,231.24,45.76,87.04,Healthy,Healthy
24,49.69,786.5,0.1382,35.0,0.1904,228.19,43.44,82.49,Healthy,Healthy
25,41.43,1285.3,0.1534,35.0,0.2788,230.94,64.39,84.14,Healthy,Healthy
26,44.01,1199.8,0.1028,50.22,0.2773,231.72,64.25,90.11,Healthy,Healthy
27,45.79,1031.6,0.1273,35.0,0.2439,229.14,55.88,85.8,Healthy,Healthy
28,44.36,838.2,0.1205,40.85,0.1738,229.51,39.88,90.57,Healthy,Healthy
29,39.49,1116.1,0.1194,35.0,0.2523,221.95,56.0,88.97,Healthy,Healthy
30,40.09,696.0,0.0878,36.61,0.1578,224.25,35.39,95.02,Healthy,Healthy
