sample_id,temperature_C,rpm,vibration_g,noise_dB,current_A,voltage_V,power_W,humidity_pct,failure_mode,health_status
0,33.0,1137.6,0.08,36.37,0.2751,227.32,62.53,83.94,Healthy,Healthy
1,47.68,1055.8,0.1169,45.11,0.2277,216.96,49.39,87.96,Healthy,Healthy
2,45.87,767.3,0.08,39.08,0.1901,231.05,43.93,83.14,Healthy,Healthy
3,46.8,1151.6,0.1368,35.0,0.2571,225.31,57.92,87.72,Healthy,Healthy
4,35.11,922.5,0.085,35.94,0.2855,220.97,63.09,85.17,Healthy,Healthy
5,39.31,1091.0,0.1768,45.9,0.2231,228.66,51.02,87.33,Healthy,Healthy
6,48.07,1138.9,0.1113,49.72,0.2558,225.15,57.6,88.41,Healthy,Healthy
7,33.0,852.7,0.0831,40.22,0.1902,233.31,44.37,85.89,Healthy,Healthy
8,47.43,1002.8,0.1775,35.45,0.1965,222.54,43.74,80.84,Healthy,Healthy
9,36.6,826.8,0.08,37.83,0.213,238.11,50.72,93.36,Healthy,Healthy
10,34.9,1067.4,0.1628,35.0,0.2372,231.27,54.85,91.07,Healthy,Healthy
11,40.1,916.2,0.1424,35.18,0.1479,233.44,34.52,87.29,Healthy,Healthy
12,33.25,1072.9,0.1025,35.0,0.2696,221.86,59.81,84.31,Healthy,Healthy
13,33.0,1174.5,0.08,38.07,0.2564,235.94,60.5,88.13,Healthy,Healthy
14,40.78,998.5,0.1795,39.15,0.2301,220.94,50.83,89.21,Healthy,Healthy
15,43.67,883.2,0.144,37.7,0.2248,225.95,50.8,90.8,Healthy,Healthy
16,47.97,886.2,0.083,37.31,0.1967,233.52,45.93,91.16,Healthy,Healthy
17,44.13,367.7,0.1317,42.6,0.1,229.53,22.95,91.9,Healthy,Healthy
18,52.7,771.7,0.1682,37.27,0.2483,220.8,54.84,81.01,Healthy,Healthy
19,48.89,1067.9,0.1254,37.61,0.1895,232.68,44.09,86.61,Healthy,Healthy
20,44.96,1074.6,0.1314,37.55,0.2151,228.7,49.19,91.67,Healthy,Healthy
21,43.26,767.8,0.1694,46.81,0.1489,224.92,33.49,84.2,Healthy,Healthy
22,48.06,929.6,0.1936,35.85,0.2665,219.29,58.44,92.56,Healthy,Healthy
23,33.0,865.9,0.1143,41.71,0.1842,229.17,42.21,94.86,Healthy,Healthy
24,37.27,1024.1,0.08,35.0,0.2456,226.18,55.55,92.45,Healthy,Healthy
25,33.0,1297.6,0.08,40.38,0.2896,227.78,65.97,90.38,Healthy,Healthy
26,44.48,1027.5,0.0869,41.44,0.2565,219.07,56.19,86.05,Healthy,Healthy
27,35.61,779.4,0.08,44.34,0.1815,224.91,40.82,88.9,Healthy,Healthy
28,59.36,885.9,0.08,36.43,0.2137,229.4,49.03,82.55,Healthy,Healthy
29,37.03,1152.3,0.2085,35.0,0.3045,236.38,71.99,84.75,Healthy,Healthy
30,40.97,646.4,0.1453,35.0,0.163,225.97,36.84,85.03,Healthy,Healthy
31,37.76,789.3,0.0949,43.7,0.1638,234.22,38.37,88.04,Healthy,Healthy
32,37.21,1027.8,0.1184,49.71,0.2485,230.94,57.38,86.27,Healthy,Healthy
33,33.0,1133.0,0.08,42.99,0.3314,228.17,75.61,88.82,Healthy,Healthy
34,33.0,1009.6,0.1754,35.0,0.2512,221.94,55.76,91.22,Healthy,Healthy
35,33.0,790.8,0.08,42.81,0.1887,222.15,41.93,85.03,Healthy,Healthy
36,43.74,996.6,0.1444,35.0,0.1946,230.09,44.77,88.38,Healthy,Healthy
37,37.62,974.6,0.08,36.62,0.2475,224.37,55.52,86.18,Healthy,Healthy
38,52.5,963.1,0.1002,39.51,0.2489,223.92,55.73,88.54,Healthy,Healthy
39,33.0,882.5,0.1795,40.41,0.2146,226.1,48.52,90.48,Healthy,Healthy
40,49.62,909.5,0.08,38.85,0.2154,226.18,48.72,91.39,Healthy,Healthy
41,50.22,736.7,0.1129,35.26,0.2504,231.5,57.96,90.41,Healthy,Healthy
