sample_id,temperature_C,rpm,vibration_g,noise_dB,current_A,voltage_V,power_W,humidity_pct,failure_mode,health_status
0,37.86,919.5,0.1355,35.0,0.245,225.39,55.23,90.44,Healthy,Healthy
1,37.12,764.8,0.0871,37.21,0.1766,237.31,41.92,83.51,Healthy,Healthy
2,39.76,934.6,0.0944,39.97,0.2084,232.81,48.53,89.25,Healthy,Healthy
3,33.0,1099.6,0.1096,41.01,0.3045,227.94,69.41,92.91,Healthy,Healthy
4,41.65,936.7,0.1337,35.0,0.2394,232.48,55.66,89.79,Healthy,Healthy
5,38.22,927.7,0.1226,37.54,0.1686,235.25,39.66,80.99,Healthy,Healthy
6,42.71,928.3,0.1388,36.94,0.2089,227.47,47.51,82.41,Healthy,Healthy
7,34.64,765.8,0.1544,40.14,0.1849,220.22,40.71,87.88,Healthy,Healthy
8,48.79,980.9,0.1136,35.0,0.1993,231.3,46.1,84.73,Healthy,Healthy
9,38.99,1087.5,0.08,45.35,0.2456,231.56,56.88,91.27,Healthy,Healthy
10,45.57,1143.4,0.08,39.89,0.2674,221.97,59.35,85.95,Healthy,Healthy
11,37.1,977.3,0.0835,44.25,0.2218,228.3,50.65,89.95,Healthy,Healthy
12,43.25,902.6,0.1308,35.42,0.1771,223.05,39.5,95.36,Healthy,Healthy
13,33.0,1237.8,0.08,35.0,0.3295,218.78,72.09,87.89,Healthy,Healthy
14,33.0,921.7,0.1714,35.0,0.2224,228.1,50.74,83.85,Healthy,Healthy
15,38.99,812.9,0.08,42.27,0.1659,234.26,38.85,89.34,Healthy,Healthy
16,40.17,776.0,0.1146,36.13,0.2053,228.61,46.94,88.9,Healthy,Healthy
17,39.69,755.3,0.1907,35.0,0.174,227.88,39.65,88.78,Healthy,Healthy
18,38.47,809.4,0.1113,39.47,0.2163,220.34,47.67,93.14,Healthy,Healthy
19,37.77,1246.8,0.08,36.77,0.288,230.14,66.29,83.17,Healthy,Healthy
20,44.56,763.8,0.08,36.91,0.1373,224.23,30.79,91.7,Healthy,Healthy
21,51.56,1174.8,0.1395,35.0,0.2446,223.11,54.56,85.44,Healthy,Healthy
22,56.63,863.0,0.1349,35.0,0.233,231.41,53.92,93.18,Healthy,Healthy
23,47.21,1087.6,0.1476,35.55,0.2824,220.92,62.38,79.52,Healthy,Healthy
24,33.0,705.8,0.1254,35.0,0.1279,225.94,28.89,96.5,Healthy,Healthy
25,46.93,896.8,0.0943,35.43,0.2478,221.26,54.84,86.74,Healthy,Healthy
26,46.85,609.1,0.0823,42.98,0.1705,225.5,38.46,83.08,Healthy,Healthy
27,39.66,904.0,0.122,35.0,0.1934,216.04,41.77,91.34,Healthy,Healthy
28,46.15,1041.6,0.1674,35.0,0.2409,229.71,55.33,89.8,Healthy,Healthy
29,42.57,1074.0,0.08,35.66,0.1896,228.95,43.4,89.57,Healthy,Healthy
30,40.21,899.2,0.165,35.0,0.1904,237.88,45.29,91.43,Healthy,Healthy
31,41.9,835.5,0.1061,37.34,0.1891,228.21,43.15,87.94,Healthy,Healthy
32,36.8,915.7,0.112,44.04,0.2222,222.49,49.44,86.66,Healthy,Healthy
33,33.0,797.0,0.1533,36.95,0.1828,231.96,42.39,83.28,Healthy,Healthy
34,33.0,796.8,0.1118,39.89,0.1898,231.84,44.0,87.36,Healthy,Healthy
35,46.09,826.5,0.1308,35.0,0.166,233.53,38.77,85.81,Healthy,Healthy
36,33.83,941.0,0.08,38.94,0.2285,217.2,49.64,87.77,Healthy,Healthy
37,33.0,1158.5,0.1067,46.45,0.317,223.49,70.84,88.24,Healthy,Healthy
38,33.0,1133.8,0.1443,39.03,0.2767,222.46,61.56,94.58,Healthy,Healthy
39,37.3,842.6,0.1012,39.19,0.1976,234.64,46.36,84.89,Healthy,Healthy
40,49.87,753.2,0.1041,40.04,0.1552,231.03,35.86,87.25,Healthy,Healthy
